"","genre","count"
"
Animation","
Animation",6
"Action","Action",16
"Adventure            ","Adventure            ",2
"
Drama            ","
Drama            ",15
"
Documentary","
Documentary",9
"History","History",3
"War            ","War            ",2
"
Biography","
Biography",8
"Comedy","Comedy",22
"Drama            ","Drama            ",33
"
Action","
Action",14
"Adventure","Adventure",17
"Fantasy            ","Fantasy            ",2
"Biography            ","Biography            ",3
"Drama","Drama",67
"Music            ","Music            ",2
"Sci-Fi            ","Sci-Fi            ",4
"Comedy            ","Comedy            ",6
"
Comedy","
Comedy",11
"Romance            ","Romance            ",7
"
Adventure","
Adventure",5
"Crime","Crime",21
"Fantasy","Fantasy",5
"Horror            ","Horror            ",3
"
Drama","
Drama",34
"Western            ","Western            ",2
"Thriller            ","Thriller            ",15
"Horror","Horror",9
"Mystery            ","Mystery            ",8
"Mystery","Mystery",11
"
Fantasy","
Fantasy",1
"Family            ","Family            ",1
"
Crime","
Crime",10
"Crime            ","Crime            ",4
"Biography","Biography",14
"Music","Music",5
"Sci-Fi","Sci-Fi",5
"
Thriller            ","
Thriller            ",1
"History            ","History            ",1
"
Horror","
Horror",1
"
Documentary            ","
Documentary            ",3
"Musical            ","Musical            ",1
"Sport            ","Sport            ",1
"Family","Family",2
